"Selection","View","Channel","Begin.Time..s.","End.Time..s.","Low.Freq..Hz.","High.Freq..Hz.","SNR.NIST.Quick..dB.FS.","Sound.Type","recorder","file.name","distance.from.source","Loc_Name","date","time","Call.type","PowerDb","PowerDbWithNoise","NoisevalueDb"
89,"Spectrogram 1",1,2053.122002369,2054.668748569,127.5,398.4,11.01,"3_Pmor_P10","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Pmor_P10",37.9440988834359,60.0682047729731,59.3599405483875
90,"Spectrogram 1",1,2076.933321659,2084.126599259,589.6,1381.6,10.91,"3_Halbstart","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Halbstart",43.7975350118511,59.6155981325224,58.0820943698411
91,"Spectrogram 1",1,2084.294863059,2088.964183659,748.9,1593.5,11.61,"3_Halbpeak","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Halbpeak",52.5766816283455,61.1692437183572,57.1304623435469
92,"Spectrogram 1",1,2089.351441759,2092.359157259,358.5,900.3,10.6,"3_Halbend","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_Halbend",43.0388837908107,59.2740662636317,57.818849110175
93,"Spectrogram 1",1,2095.07408468,2095.91540368,96.711,414.3,11.05,"3_PwurP_P1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_PwurP_P1",45.4068017938825,62.0440834645034,60.6602395961254
94,"Spectrogram 1",1,2097.016343418,2097.794563518,90.704,501.9,16,"3_PwurP_P2","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_PwurP_P2",51.1432838600819,63.7589712863567,61.4435480764335
95,"Spectrogram 1",1,2098.92426508,2099.57628738,86.757,478,15.3,"3_PwurP_P3","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_PwurP_P3",52.3225345227067,64.1187816508965,61.5367964856645
96,"Spectrogram 1",1,2100.629585914,2101.428839014,94.566,390.4,10.98,"3_PwurP_P4","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_PwurP_P4",52.74393444741,63.5642108148872,60.6170955002976
97,"Spectrogram 1",1,2102.651035257,2103.492354357,86.671,345.224,13.95,"3_PwurP_P5","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_PwurP_P5",44.2286115922945,61.8909977668672,60.6725703431382
98,"Spectrogram 1",1,2106.517389459,2107.400774359,23.9,255,12.46,"3_PwurS_S1","1","1_S00974_20190805_084413-1",100,"6 (S4A07375)","20190805","0844","3_PwurS_S1",44.7496106713217,65.6827459948693,64.8653506061277
